quantity,median,q025,q975,pd,p_in_ROPE
ind_C1,0.00216691133923871,0.0011672283059374286,0.0032068713919039564,NA,NA
ind_C2,0.01780170750738278,0.012411139714137097,0.0242087455044747,NA,NA
ind_C3,0.020297821408370983,0.011775036813816132,0.030941074223515126,NA,NA
C3 - C2 contrast,0.0025343022337868167,-0.00824205401223117,0.01439636158477325,0.6628333333333334,0.024833333333333332
