pathway,median,lo,hi,pd
Stress → Entrapment → SI,0.002241824830257888,0.0014589037757081378,0.003071534518043675,1
Stress → Burdensomeness → SI,0.001364504119630867,7.64247794535393e-4,0.002009336936531256,1
Stress → Belongingness → SI,9.58514452348295e-4,4.731445368384982e-4,0.0014734236263024038,1
