model,from_wave,to_wave,from_class,to_class,probability
lta_4state_configural_pilot,2,3,3,4,0.162
lta_4state_configural_pilot,2,3,4,1,0.0
lta_4state_configural_pilot,2,3,4,2,0.996
lta_4state_configural_pilot,2,3,4,3,0.004
lta_4state_configural_pilot,2,3,4,4,0.0
lta_4state_configural_pilot,3,4,1,1,0.539
lta_4state_configural_pilot,3,4,1,2,0.077
lta_4state_configural_pilot,3,4,1,3,0.384
lta_4state_configural_pilot,3,4,1,4,0.0
lta_4state_configural_pilot,3,4,2,1,0.0
lta_4state_configural_pilot,3,4,2,2,0.046
lta_4state_configural_pilot,3,4,2,3,0.0
lta_4state_configural_pilot,3,4,2,4,0.954
lta_4state_configural_pilot,3,4,3,1,0.157
lta_4state_configural_pilot,3,4,3,2,0.168
lta_4state_configural_pilot,3,4,3,3,0.653
lta_4state_configural_pilot,3,4,3,4,0.021
lta_4state_configural_pilot,3,4,4,1,0.0
lta_4state_configural_pilot,3,4,4,2,0.797
lta_4state_configural_pilot,3,4,4,3,0.091
lta_4state_configural_pilot,3,4,4,4,0.112
lta_4state_invariant_pilot,1,2,1,1,0.931
lta_4state_invariant_pilot,1,2,1,2,0.0
lta_4state_invariant_pilot,1,2,1,3,0.069
lta_4state_invariant_pilot,1,2,1,4,0.0
lta_4state_invariant_pilot,1,2,2,1,0.081
lta_4state_invariant_pilot,1,2,2,2,0.51
lta_4state_invariant_pilot,1,2,2,3,0.34
lta_4state_invariant_pilot,1,2,2,4,0.069
lta_4state_invariant_pilot,1,2,3,1,0.3
lta_4state_invariant_pilot,1,2,3,2,0.111
lta_4state_invariant_pilot,1,2,3,3,0.564
lta_4state_invariant_pilot,1,2,3,4,0.025
lta_4state_invariant_pilot,1,2,4,1,0.065
lta_4state_invariant_pilot,1,2,4,2,0.26
lta_4state_invariant_pilot,1,2,4,3,0.357
lta_4state_invariant_pilot,1,2,4,4,0.319
lta_4state_invariant_pilot,2,3,1,1,1.0
lta_4state_invariant_pilot,2,3,1,2,0.0
lta_4state_invariant_pilot,2,3,1,3,0.0
lta_4state_invariant_pilot,2,3,1,4,0.0
lta_4state_invariant_pilot,2,3,2,1,0.026
lta_4state_invariant_pilot,2,3,2,2,0.651
lta_4state_invariant_pilot,2,3,2,3,0.233
lta_4state_invariant_pilot,2,3,2,4,0.089
lta_4state_invariant_pilot,2,3,3,1,0.319
lta_4state_invariant_pilot,2,3,3,2,0.109
lta_4state_invariant_pilot,2,3,3,3,0.56
lta_4state_invariant_pilot,2,3,3,4,0.012
lta_4state_invariant_pilot,2,3,4,1,0.0
lta_4state_invariant_pilot,2,3,4,2,0.28
lta_4state_invariant_pilot,2,3,4,3,0.0
lta_4state_invariant_pilot,2,3,4,4,0.72
lta_4state_invariant_pilot,3,4,1,1,0.958
lta_4state_invariant_pilot,3,4,1,2,0.0
lta_4state_invariant_pilot,3,4,1,3,0.042
lta_4state_invariant_pilot,3,4,1,4,0.0
lta_4state_invariant_pilot,3,4,2,1,0.026
lta_4state_invariant_pilot,3,4,2,2,0.636
lta_4state_invariant_pilot,3,4,2,3,0.113
lta_4state_invariant_pilot,3,4,2,4,0.225
lta_4state_invariant_pilot,3,4,3,1,0.084
lta_4state_invariant_pilot,3,4,3,2,0.11
lta_4state_invariant_pilot,3,4,3,3,0.806
lta_4state_invariant_pilot,3,4,3,4,0.0
lta_4state_invariant_pilot,3,4,4,1,0.0
lta_4state_invariant_pilot,3,4,4,2,0.417
lta_4state_invariant_pilot,3,4,4,3,0.083
lta_4state_invariant_pilot,3,4,4,4,0.5
lta_4state_invariant_smoke,1,2,1,1,0.931
lta_4state_invariant_smoke,1,2,1,2,0.0
lta_4state_invariant_smoke,1,2,1,3,0.069
lta_4state_invariant_smoke,1,2,1,4,0.0
lta_4state_invariant_smoke,1,2,2,1,0.081
lta_4state_invariant_smoke,1,2,2,2,0.51
lta_4state_invariant_smoke,1,2,2,3,0.34
lta_4state_invariant_smoke,1,2,2,4,0.069
lta_4state_invariant_smoke,1,2,3,1,0.3
lta_4state_invariant_smoke,1,2,3,2,0.111
lta_4state_invariant_smoke,1,2,3,3,0.564
lta_4state_invariant_smoke,1,2,3,4,0.025
lta_4state_invariant_smoke,1,2,4,1,0.065
lta_4state_invariant_smoke,1,2,4,2,0.26
lta_4state_invariant_smoke,1,2,4,3,0.357
lta_4state_invariant_smoke,1,2,4,4,0.319
lta_4state_invariant_smoke,2,3,1,1,1.0
lta_4state_invariant_smoke,2,3,1,2,0.0
lta_4state_invariant_smoke,2,3,1,3,0.0
lta_4state_invariant_smoke,2,3,1,4,0.0
lta_4state_invariant_smoke,2,3,2,1,0.026
lta_4state_invariant_smoke,2,3,2,2,0.651
lta_4state_invariant_smoke,2,3,2,3,0.233
lta_4state_invariant_smoke,2,3,2,4,0.089
lta_4state_invariant_smoke,2,3,3,1,0.319
lta_4state_invariant_smoke,2,3,3,2,0.109
lta_4state_invariant_smoke,2,3,3,3,0.56
lta_4state_invariant_smoke,2,3,3,4,0.012
lta_4state_invariant_smoke,2,3,4,1,0.0
lta_4state_invariant_smoke,2,3,4,2,0.28
lta_4state_invariant_smoke,2,3,4,3,0.0
lta_4state_invariant_smoke,2,3,4,4,0.72
lta_4state_invariant_smoke,3,4,1,1,0.958
lta_4state_invariant_smoke,3,4,1,2,0.0
lta_4state_invariant_smoke,3,4,1,3,0.042
lta_4state_invariant_smoke,3,4,1,4,0.0
lta_4state_invariant_smoke,3,4,2,1,0.026
lta_4state_invariant_smoke,3,4,2,2,0.636
lta_4state_invariant_smoke,3,4,2,3,0.113
lta_4state_invariant_smoke,3,4,2,4,0.225
lta_4state_invariant_smoke,3,4,3,1,0.084
lta_4state_invariant_smoke,3,4,3,2,0.11
lta_4state_invariant_smoke,3,4,3,3,0.806
lta_4state_invariant_smoke,3,4,3,4,0.0
lta_4state_invariant_smoke,3,4,4,1,0.0
lta_4state_invariant_smoke,3,4,4,2,0.417
lta_4state_invariant_smoke,3,4,4,3,0.083
lta_4state_invariant_smoke,3,4,4,4,0.5
